total_population,median_age,median_age_male,median_age_female,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,male_55_59,male_60_61,male_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_18_19,female_20,female_21,female_22_24,female_25_29,race_total_pop,white_alone,black_alone,native_american_alone,asian_alone,pacific_islander_alone,other_race_alone,two_or_more_races,hispanic_total_base,hispanic_latino_total,mexican,puerto_rican,cuban,central_american,south_american,white_non_hispanic,black_non_hispanic,hispanic_any_race,median_household_income,aggregate_household_income,per_capita_income,gini_index,income_under_10k,income_10k_15k,income_15k_20k,income_20k_25k,income_25k_30k,income_30k_35k,income_35k_40k,income_40k_45k,income_45k_50k,income_50k_60k,income_60k_75k,income_75k_100k,income_100k_125k,income_125k_150k,income_150k_200k,income_over_200k,poverty_base_pop,population_below_poverty,female_below_poverty,male_below_poverty,households_with_snap,snap_base_households,education_base_pop,no_schooling,grade_8_or_less,some_high_school,high_school_diploma,ged_alternative,some_college_less_1yr,some_college_more_1yr,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree,school_enrollment_base,enrolled_in_school,enrolled_college_grad,bachelors_plus_by_sex_base,employment_base_pop,in_labor_force,civilian_labor_force,employed_civilian,unemployed,armed_forces,not_in_labor_force,industry_base,agriculture_forestry_fishing,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing,information,finance_insurance_real_estate,professional_scientific,educational_health_social,arts_entertainment_recreation,public_administration,private_wage_workers,government_workers,self_employed,total_housing_units,occupied_units,vacant_units,owner_occupied,renter_occupied,median_home_value,median_gross_rent,median_rent_as_pct_income,mortgage_30_35pct_income,mortgage_35_40pct_income,mortgage_40_50pct_income,mortgage_over_50pct_income,median_year_structure_built,owner_overcrowded,renter_overcrowded,health_insurance_base,male_19_25_no_insurance,male_26_34_no_insurance,male_35_44_no_insurance,male_45_54_no_insurance,male_55_64_no_insurance,female_19_25_no_insurance,female_26_34_no_insurance,female_35_44_no_insurance,female_45_54_no_insurance,female_55_64_no_insurance,disability_base,male_under_18_disability,female_under_18_disability,male_65_74_disability,female_65_74_disability,female_householder_no_spouse,male_householder_no_spouse,household_type_base,citizenship_base,born_in_us,born_in_us_territory,born_abroad_us_parent,naturalized_citizen,not_a_citizen,place_of_birth_base,born_in_us_state,foreign_born,language_base,speaks_english_only,speaks_spanish,speaks_other_indo_european,speaks_asian_pacific,english_proficiency_base,speaks_english_very_well,speaks_english_not_well,speaks_english_not_at_all,entered_2010_or_later,entered_2000_2009,veteran_base_18plus,veterans_total,nonveterans,male_veterans,female_veterans,gulf_war_2001_later,gulf_war_2001_later_also_gulf90,gulf_war_1990_2001,vietnam_war_veterans,korean_war_veterans,wwii_veterans,veterans_below_poverty,veteran_poverty_base,veterans_18_64_employed,veterans_18_64_unemployed,veterans_employment_base,internet_base,has_internet_subscription,has_broadband,no_internet_access,computer_base,has_computer,no_computer,commute_base,drives_alone,carpools,public_transport,works_from_home,walks_to_work,commute_time_base,commute_60_89min,commute_90min_plus,owner_no_vehicle,renter_no_vehicle,white_pct,black_pct,hispanic_pct,asian_pct,native_american_pct,white_non_hispanic_pct,minority_pct,youth_18_29_pct,senior_65plus_pct,poverty_rate_pct,unemployment_rate_pct,labor_force_participation_pct,snap_households_pct,high_inequality,lower_income_pct,middle_income_pct,upper_income_pct,college_grad_pct,postgrad_pct,high_school_or_less_pct,manufacturing_pct,government_workers_pct,self_employed_pct,work_from_home_pct,owner_occupied_pct,renter_occupied_pct,vacant_housing_pct,housing_cost_burdened_pct,uninsured_pct,disability_pct,veteran_pct,veteran_poverty_pct,female_veteran_pct,foreign_born_pct,non_citizen_pct,limited_english_pct,no_internet_pct,no_computer_pct,broadband_pct,working_class_index,college_town_index,military_community_index,diversity_index,economic_anxiety_index,margin_2004,margin_2006,margin_2008,margin_2010,margin_2012,margin_2014,margin_2016,margin_2018,margin_2020,margin_2022,margin_2024,pvi_score,avg_dem_pct,avg_rep_pct
986280,39.1,38.3,39.9,12268,7314,6172,17390,30312,32634,18656,11898,16268,26164,15536,10056,6781,489229,28208,11605,6170,5817,14654,29252,986280,813267,6609,11023,11307,1575,44541,97958,986280,122831,97062,3409,570,5334,69,783743,6221,122831,79577,37775363000,39292,0.4362,13138,8841,9057,12184,11051,11820,11751,13167,12243,27716,39552,53032,44362,30239,32124,33400,964395,94103,870292,3851,24687,363677,670675,7284,1096,7092,149231,34546,56814,111069,64668,136810,45487,10961,7847,954418,233031,38616,201105,778942,474862,473900,457559,16341,962,304080,457559,14897,47706,42798,10595,54719,22948,7386,27813,47037,100416,36377,22492,248140,11596,13153,407363,363677,43686,273668,90009,445300,1330,29.2,12655,7860,8701,19528,1996,4264,3754,972626,3282,7187,7983,9854,8668,2428,7086,4638,6867,7689,972626,211,233,15542,12586,31360,16813,363677,986280,927681,1201,9258,23529,24611,986280,938140,48140,929218,843154,61935,1524,110,929218,160120,10399,1936,15335,1792,751103,66960,684143,60803,6157,10356,5929,10147,21718,0,21,717,66960,204466,4344,570087,363677,336498,335720,18570,363677,350809,12868,450038,328515,37772,930,10744,64402,385636,12204,7249,5617,7058,82.46,0.67,12.45,1.15,1.12,79.46,20.54,14.29,58.4,9.76,3.45,60.96,6.79,0,5.5,12.2,14.21,20.4,9.59,28.49,9.35,2.44,2.77,2.39,67.18,22.1,10.72,17.81,6.75,98.62,8.91,1.07,9.2,4.88,2.5,1.33,5.11,3.54,92.31,13.94,19.21,8.28,12.0,9.29,39.1,5.14,-1.22,9.74,32.19,30.02,36.36,31.99,39.11,45.01,43.43,-19.61,30.18,69.82
947982,35.4,35.0,35.9,15701,7450,8210,20907,34144,31899,16271,10279,13342,19997,12429,7938,6006,471871,27262,21877,6608,7035,20716,30650,947982,766640,8328,11315,15125,1658,54670,90246,947982,141104,114833,2974,1049,3695,355,735681,7667,141104,75805,35483506900,38598,0.4526,12539,10659,10765,11843,12019,12096,13792,13558,13992,24681,36903,51545,37217,25880,29581,32258,919762,105416,814346,3739,29339,349328,607510,8563,1142,6243,122803,27332,45149,96496,59499,135128,49100,11410,9726,914632,259753,63666,205364,745343,485309,481004,461696,19308,4305,260034,461696,21651,37975,43892,10189,51962,23585,6980,25196,49929,105461,43274,19589,250695,13167,12339,387651,349328,38323,240693,108635,386100,1183,28.3,9810,7018,8010,13875,1984,4115,4233,934819,1963,5406,7354,9759,8665,1648,4753,6411,6012,6269,934819,110,177,11951,10991,30525,16738,349328,947982,871792,1224,8257,29019,37690,947982,881273,66709,891296,777643,85273,2158,9,891296,152349,15638,1559,24033,2522,711709,49763,661946,45079,4684,9558,4836,6786,14601,4,21,663,49763,233003,4011,564089,349328,319905,319461,18130,349328,336910,12418,456840,330453,42881,4008,13172,55990,400850,12704,7938,4684,8850,80.87,0.88,14.88,1.6,1.19,77.6,22.4,18.28,57.54,11.46,4.01,65.11,8.4,1,6.1,11.93,13.18,22.24,11.56,26.12,9.51,2.71,2.54,2.88,62.09,28.02,9.89,16.08,6.23,98.61,6.99,1.33,9.41,7.04,3.98,1.93,5.19,3.55,91.45,13.47,22.08,8.15,13.7,9.77,41.48,27.57,41.99,44.42,30.32,22.72,33.52,21.34,32.33,27.18,28.91,-19.61,30.18,69.82
739958,39.9,37.2,42.4,9993,5242,4498,14793,23552,23790,13971,8130,10912,14636,8539,6330,5221,387755,17840,9885,4441,4923,14035,23641,739958,281795,353641,3118,16389,179,34564,50272,739958,77446,60733,5999,1216,2641,50,268131,351544,77446,71465,28851414400,39714,0.489,25733,14355,10535,9969,10614,10550,11162,9401,8722,17496,24665,34353,27341,20348,28229,32082,728341,114395,613946,4882,66501,295555,509845,6649,726,5637,115722,18630,41721,80833,44402,94345,52586,9566,7998,717602,183542,35791,164495,599055,373868,373400,336107,37293,468,225187,336107,1348,18357,25061,6389,35965,33189,4427,23140,39656,93380,23690,14433,163597,12924,13871,325659,295555,30104,184786,110769,270700,1171,34.3,8537,4806,6043,17824,1965,1688,1880,734803,1090,1947,4538,7212,4806,593,1410,3377,4407,3431,734803,52,155,8527,12062,55898,15148,295555,739958,677537,1164,5306,28249,27702,739958,684007,55951,701235,609433,51500,2261,1250,701235,108085,8248,987,20866,2365,577187,28192,548995,25692,2500,3219,975,4085,9563,0,0,281,28192,162802,1062,445475,295555,263224,262788,24254,295555,278343,17212,326984,207429,23667,33020,8648,45709,281275,33413,11866,10461,43461,38.08,47.79,10.47,2.21,0.42,36.24,63.76,15.54,59.51,15.71,9.99,62.41,22.5,1,9.62,10.34,14.6,18.5,13.76,27.66,7.46,3.46,3.71,2.64,56.74,34.01,9.24,20.14,4.47,99.3,4.88,1.0,8.87,7.56,3.74,1.32,8.21,5.82,88.91,14.17,18.87,5.76,34.41,16.46,-69.72,-68.12,-71.74,-64.49,-47.64,-46.18,-48.19,-53.75,-47.65,-34.07,-31.7,6.32,56.12,43.88
742590,39.2,37.4,40.8,9412,4847,4275,13088,23830,23227,13670,9250,11065,15507,8848,6131,4813,387132,19652,8500,4506,4058,13400,24021,742590,269598,345872,3595,8307,321,58892,56005,742590,113904,98125,7876,972,2671,49,252953,342823,113904,64304,25004530100,34240,0.4697,23434,14262,10860,11351,12721,11722,11055,11323,11807,20685,28592,38211,27790,19040,22855,18854,727097,129167,597930,5098,65822,294562,506459,8516,959,7097,134118,23396,39779,85967,44046,73322,40181,6398,6021,718765,177142,26835,125922,589829,359344,358961,325397,33564,383,230485,325397,3797,15688,33183,7392,35370,36696,5958,20022,28707,84571,23675,14380,159835,11560,10920,332735,294562,38173,189267,105295,166900,1124,32.6,8327,5238,5776,15077,1963,2201,2743,732209,1033,2642,4933,7592,5456,686,1794,3540,4083,4830,732209,131,134,9424,11033,58244,18068,294562,742590,678973,2055,4281,28094,29187,742590,685309,57281,701736,600216,80738,1502,852,701736,113636,13620,2742,14475,2118,568162,30043,538119,26806,3237,4563,1185,4706,9591,0,5,341,30043,157963,1674,437150,294562,263507,263235,24300,294562,276556,18006,317969,223612,25210,18475,7708,35263,282706,27586,10343,9092,29679,36.31,46.58,15.34,1.12,0.48,34.06,65.94,14.8,59.53,17.76,9.35,60.92,22.35,1,9.78,11.78,11.92,14.48,10.39,32.78,10.2,3.22,3.04,2.42,56.88,31.65,11.47,18.18,5.0,98.6,5.29,1.14,10.77,7.71,3.93,2.33,8.25,6.11,89.36,16.85,16.45,6.65,35.75,16.26,-88.49,-73.02,-78.82,-66.69,-40.03,-57.05,-59.62,-62.12,-57.62,-34.26,-35.12,6.32,56.12,43.88
739663,36.6,36.1,37.0,9493,4386,3973,14584,29185,32229,11475,7471,8682,12660,7616,4326,3793,373556,20637,7978,4763,4120,16141,29377,739663,330582,43152,12447,50853,507,153626,148496,739663,337421,217033,55242,4163,23375,504,290413,39632,337421,88650,31777955900,43296,0.4537,11257,7777,7373,6268,9446,7980,8384,8004,8761,15614,24138,36477,30316,21150,31132,37766,729912,86951,642961,2814,37920,271843,512379,19943,2076,6266,105957,16507,27594,54480,35576,122081,51099,10779,6102,715553,174771,35250,190061,598956,415985,415817,391505,24312,168,182971,391505,905,23564,47196,10707,38636,26871,7399,27235,58434,79052,39812,20117,207468,11056,11010,288733,271843,16890,155388,116455,359900,1445,27.5,7216,5585,5951,13706,1956,3511,5098,735329,1121,3583,6785,11071,11560,1283,3796,5163,8413,8682,735329,235,15,5939,7338,34788,16919,271843,739663,509023,15888,8529,97777,108446,739663,533440,206223,697369,352345,255344,1379,94,697369,61869,38432,6773,55778,5781,577649,14383,563266,12833,1550,3601,645,1487,4570,0,31,301,14383,187834,1583,477734,271843,248202,247947,16759,271843,259958,11885,383006,221625,36101,39948,9026,66399,316607,30251,8479,8160,25658,44.69,5.83,45.62,6.88,1.68,39.26,60.74,16.76,57.13,11.91,5.85,69.45,13.95,1,5.69,10.31,16.27,23.83,13.27,27.79,12.06,2.66,2.65,2.36,53.82,40.33,5.85,20.89,8.36,99.41,2.49,2.09,10.78,27.88,14.66,6.48,6.16,4.37,91.21,14.87,21.67,7.05,40.03,12.74,-47.49,-54.2,-51.91,-45.4,-36.96,-29.12,-99.96,-47.09,-12.76,-37.0,-34.56,6.32,56.12,43.88
729797,36.9,36.7,37.1,10475,4959,5704,16357,26086,26008,11172,7342,9131,12761,8097,4920,4110,357437,21024,9830,4109,4854,16485,24176,729797,226125,36437,15944,31799,355,242195,176942,729797,483882,424850,25935,2525,10013,189,169606,34336,483882,75931,26187225700,36010,0.4783,11825,6573,7277,9477,9674,10076,9185,9403,8353,15863,23648,30222,25982,18226,21079,28452,716287,97059,619228,3682,43351,245315,484700,26904,1528,8306,121306,21955,24964,50545,30841,73311,33241,8748,4752,707252,185898,35851,120052,581165,367471,367134,342322,24812,337,213694,342322,1013,22294,46111,11265,34102,29311,4321,19452,46052,64754,35700,17407,192589,12382,9986,262146,245315,16831,154887,90428,287300,1189,29.5,5852,5281,6042,12778,1951,5100,4194,718425,372,3263,8084,10387,13829,505,2201,5113,6749,9004,718425,117,292,6255,6927,35606,20403,245315,729797,484287,5068,10319,105814,124309,729797,499674,230123,690314,255464,386638,869,61,690314,54635,58628,10064,40039,6385,557136,14341,542795,12999,1342,3234,603,1397,4599,0,20,109,14341,174263,1403,457066,245315,217869,217591,21025,245315,228454,16861,334427,203657,42268,33292,8451,39252,295175,27152,7199,9019,21020,30.98,4.99,66.3,4.36,2.18,23.24,76.76,16.86,55.95,13.55,6.76,63.23,17.67,1,6.14,9.56,12.84,15.13,9.64,35.11,13.47,3.37,2.72,2.53,59.08,34.5,6.42,19.34,8.28,98.44,2.57,0.76,9.36,31.53,17.03,9.95,8.57,6.87,88.7,17.76,17.72,6.81,49.83,13.78,-71.3,-71.68,-69.12,-63.04,-66.0,-56.3,-100.0,-73.18,-68.1,-40.35,-40.22,6.32,56.12,43.88
751305,37.6,37.1,38.0,6855,2521,3112,14924,36506,33397,12747,8074,9931,13633,8944,5719,6072,384807,20155,7081,2472,3028,19483,37032,751305,543375,21373,3056,80033,224,33125,70119,751305,93526,51772,14961,3283,6463,473,525942,20357,93526,114146,56276139800,75259,0.4951,13929,6628,6218,7725,6345,6454,7064,7807,8453,15179,24180,38418,33817,26808,41089,87260,742420,52682,689738,2063,19164,337374,549492,6015,372,2221,60506,8525,19867,46221,27655,208534,109167,30821,14440,726694,161940,30146,362962,623780,449870,449836,431887,17949,34,173910,431887,623,16282,34855,10974,33814,21599,12472,51375,94564,94086,30447,18033,222349,15866,11928,361280,337374,23906,200926,136448,454100,1779,26.4,8419,5780,6765,15273,1965,1373,2077,745838,566,1220,2222,4502,3630,344,1378,1810,3605,3308,745838,106,128,4838,5797,21244,10389,337374,751305,591203,2963,7421,94528,55190,751305,601587,149718,710794,514150,55991,4850,255,710794,74157,5539,1264,44625,2566,608934,16431,592503,14942,1489,3018,905,2194,4985,0,11,119,16431,200719,1354,489897,337374,314808,314467,12889,337374,328680,8694,422714,192269,21255,65307,16210,116843,305871,25428,6010,15839,50760,72.32,2.84,12.45,10.65,0.41,70.0,30.0,17.7,58.48,7.1,3.99,72.12,5.68,1,5.44,10.35,25.15,37.95,28.1,13.66,8.07,3.53,2.65,3.83,55.62,37.77,6.62,18.03,3.03,99.27,2.7,0.72,9.06,19.93,7.35,0.96,3.82,2.58,93.21,8.96,28.6,6.08,21.17,8.62,-52.36,-55.99,-51.9,-45.24,-37.14,-32.61,-40.36,-53.33,-44.14,-40.75,-37.94,6.32,56.12,43.88
747517,41.4,39.8,43.2,7952,4016,3574,12710,21918,23889,15195,9824,13176,17993,11609,6577,6177,377514,20287,7723,3290,2909,11162,22057,747517,541178,38047,3019,45461,169,39345,80298,747517,120336,94997,8415,2893,4040,156,517118,37227,120336,99953,39584574200,53444,0.4628,12353,5225,6558,7541,6987,7976,7495,8107,8733,14970,24845,36503,31701,25598,36718,53152,738695,55625,683070,2639,24833,294462,529593,7145,639,3107,105005,12771,34007,63977,45336,140629,68890,15842,8732,721859,175611,31859,234093,602978,392098,391958,371931,20027,140,210880,371931,846,22612,33081,10772,37391,29235,6694,31500,50500,88408,28730,17182,197180,12198,14243,309226,294462,14764,227409,67053,341500,1480,29.3,9030,5651,7273,16329,1973,2139,1681,742172,761,1876,3490,5777,4875,621,1379,1640,3796,3265,742172,30,131,8242,8130,28472,12825,294462,747517,618515,1609,7455,76657,43281,747517,627579,119938,704506,518811,73309,1349,78,704506,89283,11043,2642,32973,3627,582789,24293,558496,22558,1735,3456,1093,2802,9214,0,19,245,24293,144425,1407,436266,294462,274857,274513,14883,294462,282294,12168,364375,251250,22482,16252,5535,64143,300232,28076,6877,6700,8087,72.4,5.09,16.1,6.08,0.4,69.18,30.82,13.02,58.88,7.53,5.11,65.03,8.43,1,5.17,10.21,19.69,26.55,17.65,23.59,8.89,3.11,3.63,1.52,73.54,21.68,4.77,16.83,3.7,99.28,4.17,1.01,7.14,16.04,5.79,1.94,5.05,4.13,93.23,12.18,21.88,5.86,20.61,9.31,11.66,2.7,15.14,27.3,18.44,34.28,18.44,-7.16,-7.39,-8.72,-8.42,6.32,56.12,43.88
744315,35.1,34.7,35.6,9094,3842,4126,16315,39114,38449,10535,5796,8643,12051,7881,3923,3701,388580,20195,9835,3940,4025,20610,42808,744315,238592,302486,4012,67187,293,63510,68235,744315,129763,88942,14896,1604,4989,61,220663,298966,129763,83208,42206451600,57358,0.5376,25848,18163,10074,11406,10124,9542,8894,10213,9595,16074,24249,37537,30434,23819,29979,57913,729353,131077,598276,4208,67685,333864,533166,9652,1280,6325,90682,16227,26901,57217,29036,137434,76831,27020,14759,720272,168762,37143,256044,620992,421607,421420,385684,35736,187,199385,385684,768,11427,27040,7274,28566,27173,8384,41203,77785,93634,32258,16173,190444,15943,10584,368855,333864,34991,142623,191241,351000,1643,29.6,7071,5751,5775,14219,1963,2374,3497,740670,995,2612,5468,7683,6483,606,2495,5039,5741,5411,740670,38,25,6672,10019,51845,14605,333864,744315,619894,3165,4839,49798,66619,744315,627898,116417,704637,531167,95742,3887,331,704637,76072,13029,2925,44395,2607,604766,18619,586147,16561,2058,4413,1285,2336,5829,4,6,170,18619,230686,1718,505955,333864,297394,297056,20890,333864,317618,16246,377519,154945,23750,58280,39654,86973,290546,24772,8607,15847,81626,32.06,40.64,17.43,9.03,0.54,29.65,70.35,20.65,58.62,17.97,8.48,67.89,20.27,1,10.16,10.46,19.1,25.78,22.25,21.86,7.01,3.78,2.51,10.5,38.67,51.85,9.49,23.01,5.74,99.51,3.08,0.91,11.05,15.64,8.95,2.26,6.26,4.87,88.98,12.41,23.62,7.41,40.32,16.84,-72.26,-73.4,-70.04,-65.41,-73.65,-70.2,-68.48,-75.24,-67.06,-99.94,-66.56,6.32,56.12,43.88
746772,39.9,38.7,41.0,9251,3868,4348,13972,23188,26727,13763,9281,11563,14869,9221,5685,4896,373351,19926,7097,3289,4029,13353,22694,746772,415903,36032,6447,103518,809,78158,105905,746772,187801,145859,13198,2242,9480,120,392422,34679,187801,99637,34425562700,46456,0.4171,9493,5077,5361,5976,6543,7084,6613,7912,8204,15809,23318,38927,34721,26225,36712,41567,740522,54927,685595,1970,25919,279542,521117,13233,1355,4481,107532,15147,33087,61344,41919,136840,57513,8835,5510,723749,176308,31120,208698,600042,417543,417226,398383,18843,317,182499,398383,1150,23208,58863,12970,41129,31827,7239,30215,52539,80499,32264,17416,215204,9265,10671,290261,279542,10719,201319,78223,326100,1597,28.0,9996,5790,7068,14632,1979,3275,3567,742612,467,2039,4485,7950,8704,810,1609,3099,4955,5446,742612,71,48,6211,7479,29803,13907,279542,746772,526311,3135,8477,116687,92162,746772,537923,208849,706567,410323,137584,1236,165,706567,73675,24996,3333,60346,3830,580007,20102,559905,18957,1145,2854,924,2452,7414,0,12,212,20102,155339,1408,459356,279542,264188,263925,11075,279542,271530,8012,390859,277373,33688,8474,3268,61406,329453,22333,6895,5446,9075,55.69,4.83,25.15,13.86,0.86,52.55,47.45,14.07,57.31,7.42,4.52,69.59,9.27,0,4.35,10.45,18.64,26.26,13.79,26.08,14.78,2.22,2.56,0.84,69.36,26.95,3.69,18.62,5.33,99.44,3.47,1.05,5.7,27.97,12.34,4.01,3.96,2.87,94.41,15.04,22.07,5.24,32.92,9.72,-3.4,-6.89,-21.44,0.15,-9.48,-11.46,-16.62,-31.94,-73.16,-13.78,-14.12,6.32,56.12,43.88
745003,40.8,40.0,41.7,9272,4247,3620,14144,23042,25493,12876,8649,12324,15831,10593,6567,6556,377498,17890,10717,4671,4903,13569,23473,745003,456059,64088,3144,106496,298,42427,72491,745003,101767,60893,9556,3922,8579,294,439117,62532,101767,92513,41639427300,56386,0.4971,15155,10191,8034,7721,8512,8269,10070,7827,9490,18456,23064,38119,28357,22607,33304,59712,723999,79279,644720,2887,31868,308888,532234,10904,535,3152,72716,10423,23298,55983,33414,167771,93358,22007,16118,723441,178939,40993,299254,615316,410718,410557,387781,22776,161,204598,387781,996,14950,35322,8112,36917,20341,9264,32716,63023,101499,33150,21853,203514,20754,9937,328828,308888,19940,188966,119922,395100,1481,30.2,7794,5868,6388,13961,1963,2733,3458,734540,730,2502,3545,6646,6640,617,1935,3333,5276,4857,734540,72,64,6865,7181,26446,12185,308888,745003,539810,1853,9630,119017,74693,745003,551293,193710,707218,460654,69904,3669,757,707218,75994,8834,1370,62583,4101,597216,17541,579675,15949,1592,2758,1256,1636,5831,0,32,355,17541,162732,937,460483,308888,285146,284730,13343,308888,298958,9930,381324,198957,24746,45377,13563,87983,293341,28102,7315,11986,42706,61.22,8.6,13.66,14.29,0.42,58.94,41.06,14.99,58.38,10.95,5.55,66.75,10.32,1,6.66,10.69,19.33,31.52,24.7,17.67,9.11,5.05,2.42,3.56,57.47,36.47,6.06,18.0,4.91,98.6,2.94,2.02,9.08,26.0,10.03,1.44,4.32,3.21,92.18,10.94,25.06,6.13,28.62,10.97,-51.48,-49.18,-52.67,-35.2,-32.66,-32.15,-32.96,-46.98,-41.96,-43.38,-36.78,6.32,56.12,43.88
753708,39.6,38.4,40.7,12765,5618,5301,16161,22982,21525,13453,8358,11775,15081,9977,6306,5636,375851,19978,9822,5444,3853,14312,20781,753708,465636,48586,7077,62644,446,69296,100023,753708,186113,143908,13034,2480,11143,94,428324,46156,186113,107371,44261638500,59487,0.5025,10544,4878,5401,6063,6305,7194,6903,6964,7086,14230,20371,32371,28764,22434,30844,65058,733827,62715,671112,1973,26018,275410,506141,11769,1124,3698,86378,15474,28323,56517,33731,134475,73378,19309,10762,730175,190782,32889,237924,602034,405382,393602,373116,20486,11780,196652,373116,1171,18771,56421,13772,41253,17298,5119,30737,55162,75106,31672,14972,201033,10894,9811,290000,275410,14590,206484,68926,342700,1477,29.9,7910,5702,6814,13638,1980,2708,2820,734793,823,2894,3980,5748,5820,601,2535,2808,3767,4946,734793,154,94,6424,6463,28064,13040,275410,753708,592386,3295,8242,76762,73023,753708,603923,149785,713440,489788,134156,2786,502,713440,90522,24674,4394,41159,3985,567637,27014,540623,23884,3130,6067,1686,3671,7965,0,11,254,27014,148817,3245,442917,275410,259483,259327,11417,275410,267114,8296,376640,245454,32588,11492,8054,73301,303339,23885,7197,4231,8578,61.78,6.45,24.69,8.31,0.94,56.83,43.17,15.53,57.43,8.55,5.2,67.34,9.45,1,4.4,8.89,19.52,26.57,20.44,22.45,15.12,2.69,2.42,2.14,71.2,23.77,5.03,16.5,4.62,97.49,4.76,0.94,11.59,19.87,9.69,4.07,4.15,3.01,94.16,14.1,23.01,7.68,28.36,9.71,28.28,6.76,5.12,2.16,-1.26,2.6,-5.21,-31.18,-27.75,-26.0,-19.94,6.32,56.12,43.88
754751,39.4,38.6,40.2,9995,4453,4429,15056,22706,23353,12929,7711,10730,15277,9755,5975,4779,380415,21253,9112,4088,4378,13592,22077,754751,493386,45593,4125,66597,288,46520,98242,754751,146145,118869,9717,2302,3745,152,471366,44254,146145,109255,39689911800,53193,0.4399,9227,4787,5188,5506,5344,6127,6887,7502,6994,14436,22373,34532,29920,25039,38247,58371,745976,52527,693449,1912,24601,280480,512588,9063,972,3695,89688,13788,33402,62886,39835,141484,71428,11978,9142,728813,189123,33227,234032,600817,414754,414236,394760,19476,518,186063,394760,2196,23277,51239,12592,43105,22950,6593,31244,53758,86886,31437,17780,210717,10683,13103,290364,280480,9884,211761,68719,345200,1627,28.5,10365,5826,7872,12733,1987,2316,2397,749325,486,1779,3202,5528,4263,602,1506,2558,2994,3559,749325,125,31,6657,6524,29458,14089,280480,754751,624396,2095,6223,63113,58924,754751,632714,122037,711237,535552,97283,1611,43,711237,101598,17668,2160,36242,2551,577173,26449,550724,24766,1683,3978,1186,3720,9578,163,5,138,26449,155712,1622,456321,280480,265552,265319,10327,280480,273497,6983,388016,266307,27901,10214,4949,73823,314193,25839,8891,3505,8415,65.37,6.04,19.36,8.82,0.55,62.45,37.55,14.56,57.96,7.04,4.7,69.03,8.77,0,3.98,9.45,20.08,27.6,18.06,21.96,12.98,2.58,3.16,1.28,72.93,23.67,3.4,17.38,3.53,99.28,4.58,0.52,6.36,16.17,7.81,2.79,3.68,2.49,94.59,12.97,23.18,6.07,24.18,9.27,17.34,10.2,-23.92,14.7,-17.14,-6.92,-20.9,-27.68,-26.6,-12.9,-11.18,6.32,56.12,43.88
746831,41.6,40.4,42.8,9377,4955,4871,13870,22593,23627,15817,10485,12868,18718,11991,7265,6723,368198,19419,7914,4155,4139,12416,19841,746831,657105,36561,1460,7448,76,7170,37011,746831,22966,13666,3060,607,2118,57,651442,35904,22966,68540,27231023200,36989,0.4506,15906,12664,11541,12834,12488,12088,11836,12622,10802,22338,29819,39741,30557,21892,25011,21930,717927,93877,624050,3715,46065,304069,523532,4144,1062,8568,132072,29542,45631,74814,70496,79237,37020,6266,5201,723376,168332,30744,127724,604983,355864,352508,336144,16364,3356,249119,336144,14254,22003,41575,7458,38539,20434,3994,17217,23161,87699,24353,15350,175830,8593,10396,345452,304069,41383,227978,76091,151200,835,26.7,5926,3831,4475,8500,1976,1636,1066,722692,1061,2566,3785,5023,4525,879,2086,2176,2645,2829,722692,177,195,12757,11405,29325,15011,304069,746831,726934,569,4482,6820,8026,746831,731985,14846,706465,681301,12455,523,51,706465,116942,1524,350,7016,1361,581873,50253,531620,45615,4638,7481,6007,7080,16018,8,23,492,50253,147944,2882,433542,304069,263210,262335,32502,304069,279953,24116,331790,266297,25967,1084,6130,28740,303050,11801,6994,6425,12976,87.99,4.9,3.08,1.0,0.2,87.23,12.77,13.94,57.89,13.08,4.64,58.82,15.15,1,8.76,12.31,13.31,15.14,9.26,31.66,12.37,2.41,2.92,1.85,65.99,22.03,11.98,9.97,3.82,96.77,8.64,0.98,9.23,1.99,1.07,0.27,10.69,7.93,86.27,17.07,16.26,8.02,7.04,10.18,-40.6,-100.0,-46.45,-23.3,-8.91,10.57,14.62,6.18,20.86,50.0,48.38,6.32,56.12,43.88
